t	p	T	az	ay	ax	gz	gy	gx	fs
182782	306384	28937	-235	-10	5	26	-1	-85	0
182813	306376	28938	-240	-6	6	36	13	-42	0
182845	306391	28938	-236	-9	11	9	20	7	0
182877	306378	28937	-243	-12	2	-20	46	24	0
182908	306395	28937	-255	0	4	14	62	-2	0
182940	306383	28937	-248	-4	7	-2	51	22	0
182972	306382	28937	-232	-3	10	-9	39	-6	0
183003	306374	28936	-244	-5	3	11	43	-2	0
183035	306384	28940	-241	-13	3	20	63	8	0
183066	306380	28938	-245	-13	5	51	49	-67	0
183098	306370	28936	-237	-13	7	5	57	-21	0
183130	306376	28937	-246	-5	0	-1	53	-22	0
183161	306385	28938	-246	-5	1	-12	22	-20	0
183193	306387	28940	-242	-7	-2	-8	52	-6	0
183225	306388	28938	-241	-9	4	-19	11	6	0
183256	306380	28938	-236	-12	4	-25	47	42	0
183288	306391	28938	-249	-2	2	23	69	-41	0
183320	306372	28937	-245	-13	2	-13	22	14	0
183351	306375	28938	-238	-15	3	46	44	-34	0
183383	306385	28940	-239	-16	5	39	83	1	0
183415	306373	28936	-240	-14	5	-37	20	47	0
183446	306372	28940	-236	-9	7	1	44	-42	0
183478	306386	28938	-248	-2	-1	16	49	-15	0
183510	306381	28938	-236	-14	5	51	79	-27	0
183541	306384	28938	-239	-10	2	36	98	-22	0
183573	306382	28940	-237	-10	3	34	46	-29	0
183605	306382	28939	-236	-11	9	24	-1	-75	0
183636	306372	28938	-240	-5	0	34	33	-31	0
183668	306389	28938	-239	-13	4	17	32	-39	0
183699	306383	28938	-242	-7	1	45	47	-35	0
183731	306372	28938	-249	-9	-9	36	60	-52	0
183763	306385	28938	-243	-3	1	3	32	-2	0
183794	306383	28939	-244	-12	1	15	-9	-30	0
183826	306374	28938	-235	-14	8	-12	6	-3	0
183858	306372	28939	-237	-3	5	-3	33	6	0
183889	306371	28940	-248	-17	-3	12	12	-25	0
183921	306363	28938	-246	-2	9	11	24	-8	0
183953	306375	28939	-246	3	4	1	31	-42	0
183984	306375	28938	-246	-3	10	49	15	-63	0
184016	306377	28938	-244	-4	1	24	42	-74	0
184048	306373	28940	-236	-17	10	35	60	-23	0
184079	306373	28940	-236	-12	4	19	53	-11	0
184111	306379	28936	-240	-22	8	-15	38	-36	0
184143	306364	28939	-232	-20	9	25	63	5	0
184174	306380	28939	-238	-9	8	-19	40	5	0
184206	306367	28939	-240	-11	4	-20	-3	15	0
184238	306374	28936	-244	-8	4	-35	11	27	0
184269	306360	28938	-239	-6	1	5	10	-27	0
184301	306374	28940	-239	-10	7	7	77	12	0
184332	306372	28938	-241	-4	9	2	89	47	0
184364	306365	28938	-234	-9	7	-8	31	6	0
184396	306380	28936	-232	-15	12	49	25	-1	0
184427	306382	28938	-246	-13	5	40	44	-32	0
184459	306378	28938	-240	-9	7	14	-19	-46	0
184491	306384	28939	-244	-9	-2	46	50	0	0
184522	306376	28938	-239	-11	10	-28	46	5	0
184554	306376	28938	-244	-12	5	5	39	-42	0
184586	306369	28940	-251	-4	-2	2	-13	-47	0
184617	306375	28938	-244	-4	1	11	-10	-88	0
184649	306374	28938	-239	-9	6	15	57	14	0
184681	306366	28939	-236	-5	8	14	37	-20	0
184712	306377	28938	-242	-4	7	21	35	-29	0
184744	306369	28938	-243	-12	6	39	88	6	0
184776	306369	28941	-243	-3	6	17	23	-80	0
184807	306367	28940	-235	-17	12	27	94	-8	0
184839	306362	28938	-242	-10	4	-11	73	17	0
184871	306371	28938	-238	-3	8	20	51	-21	0
184902	306368	28940	-242	-7	2	-1	37	-22	0
184934	306374	28940	-242	-15	9	6	27	25	0
184965	306374	28938	-234	-16	10	44	32	-38	0
184997	306366	28938	-249	-3	4	33	29	-35	0
185029	306371	28940	-240	-8	3	42	57	-25	0
185060	306371	28939	-240	-14	4	-3	18	-27	0
185092	306377	28941	-244	-3	3	41	74	-29	0
185124	306369	28938	-233	-9	8	-16	0	15	0
185155	306369	28938	-237	-11	5	3	52	-5	0
185187	306363	28938	-240	-6	11	-18	-43	-15	0
185219	306368	28937	-235	-10	7	21	32	-1	0
185250	306364	28942	-241	-2	6	31	38	-3	0
185282	306373	28940	-242	-25	8	48	55	-66	0
185314	306361	28940	-240	-14	6	29	27	-37	0
185345	306365	28938	-242	-5	1	29	41	-21	0
185377	306356	28938	-238	-13	6	-20	35	12	0
185409	306365	28940	-239	-14	3	23	65	-29	0
185440	306369	28940	-241	-8	3	-21	28	4	0
