BMP180: ac1=  7165, ac2= -1052, ac3=-14491, b1=  6515, b2=    36, mb=-32768, mc=-11786, md=  2719, ac4=33785, ac5=25165, ac6=17901
t, p, T, ax, ay, az, arx, ary, arz, gx, gy, gz, mx, my, mz, fs
     14173,      83110,  26110,  -1918,   -218,   -59,  -965,  -779,  -1070,  -1359,   -452,   -110,   4905,   5980,   -405, 0
     14174,         -1,  32767,  -1927,   -295,     3,  -967,  -776,  -1055,  -1271,   -453,   -167,   4905,   5980,   -405, 0
     14174,         -1,  32767,  -1907,   -270,    46,  -969,  -799,  -1051,  -1218,   -445,   -186,   4905,   5980,   -405, 0
     14175,         -1,  32767,  -1907,   -270,    46,  -954,  -768,  -1059,  -1166,   -407,   -191,   4905,   5980,   -405, 0
     14176,         -1,  32767,  -1879,   -219,     5,  -963,  -770,  -1067,  -1124,   -346,   -190,   4905,   5980,   -405, 0
     14176,         -1,  32767,  -1879,   -219,     5,  -969,  -768,  -1067,  -1084,   -295,   -220,   4905,   5980,   -405, 0
     14177,         -1,  32767,  -1901,   -198,   -76,  -953,  -766,  -1057,  -1056,   -270,   -271,   4905,   5980,   -405, 0
     14177,         -1,  32767,  -1945,   -320,    -3,  -961,  -763,  -1065,  -1042,   -247,   -326,   4905,   5980,   -405, 0
     14178,         -1,  32767,  -1945,   -320,    -3,  -970,  -775,  -1072,  -1041,   -236,   -350,   4905,   5980,   -405, 0
     14179,         -1,  32767,  -1940,   -188,    20,  -950,  -769,  -1055,  -1046,   -221,   -353,   4905,   5980,   -405, 0
     14179,         -1,  32767,  -1940,   -188,    20,  -961,  -773,  -1065,  -1051,   -211,   -339,   4905,   5980,   -405, 0
     14180,         -1,  32767,  -1924,    -90,    21,  -968,  -775,  -1072,  -1036,   -192,   -319,   4920,   5895,   -372, 0
     14181,      83111,  26110,  -1928,    -76,    35,  -949,  -768,  -1053,  -1015,   -161,   -302,   4920,   5895,   -372, 0
     14181,         -1,  32767,  -1903,    -82,    31,  -960,  -791,  -1049,   -999,   -110,   -303,   4920,   5895,   -372, 0
     14182,         -1,  32767,  -1903,    -82,    31,  -954,  -798,  -1049,   -997,    -51,   -309,   4920,   5895,   -372, 0
     14183,         -1,  32767,  -1878,    -89,   -12,  -964,  -777,  -1068,   -996,     -2,   -321,   4920,   5895,   -372, 0
     14183,         -1,  32767,  -1890,   -110,   -12,  -971,  -783,  -1067,   -996,     43,   -357,   4920,   5895,   -372, 0
     14184,         -1,  32767,  -1890,   -110,   -12,  -955,  -781,  -1059,   -979,     59,   -404,   4920,   5895,   -372, 0
     14184,         -1,  32767,  -1927,   -167,    78,  -964,  -778,  -1068,   -934,     55,   -452,   4920,   5895,   -372, 0
     14185,         -1,  32767,  -1927,   -167,    78,  -970,  -782,  -1071,   -873,     38,   -496,   4920,   5895,   -372, 0
     14186,         -1,  32767,  -1957,   -217,   139,  -953,  -768,  -1056,   -803,     15,   -530,   4920,   5895,   -372, 0
     14186,         -1,  32767,  -1957,   -217,   139,  -963,  -773,  -1068,   -747,      9,   -528,   4920,   5895,   -372, 0
     14187,         -1,  32767,  -1960,   -189,   157,  -969,  -781,  -1071,   -704,     23,   -517,   4920,   5895,   -372, 0
     14187,         -1,  32767,  -1930,   -115,    77,  -952,  -766,  -1054,   -643,     54,   -521,   4920,   5895,   -372, 0
     14188,         -1,  32767,  -1930,   -115,    77,  -963,  -774,  -1065,   -590,     94,   -555,   4920,   5895,   -372, 0
     14188,         -1,  32767,  -1927,   -223,    42,  -970,  -782,  -1072,   -548,    122,   -603,   4920,   5895,   -372, 0
     14189,      83110,  26110,  -1927,   -223,    42,  -950,  -766,  -1055,   -531,    148,   -637,   4920,   5895,   -372, 0
     14190,         -1,  32767,  -1938,   -243,    39,  -960,  -770,  -1063,   -515,    203,   -676,   4915,   5812,   -492, 0
     14191,         -1,  32767,  -1927,   -174,     5,  -961,  -799,  -1055,   -490,    234,   -709,   4915,   5812,   -492, 0
     14191,         -1,  32767,  -1942,   -224,     5,  -969,  -802,  -1060,   -465,    254,   -748,   4915,   5812,   -492, 0
     14192,         -1,  32767,  -1942,   -224,     5,  -970,  -780,  -1057,   -448,    266,   -778,   4915,   5812,   -492, 0
     14192,         -1,  32767,  -1957,   -234,    10,  -954,  -767,  -1058,   -430,    278,   -796,   4915,   5812,   -492, 0
     14193,         -1,  32767,  -1966,   -172,    19,  -964,  -774,  -1068,   -422,    291,   -806,   4915,   5812,   -492, 0
     14194,         -1,  32767,  -1966,   -172,    19,  -969,  -771,  -1063,   -424,    297,   -808,   4915,   5812,   -492, 0
     14194,         -1,  32767,  -1967,   -126,    46,  -954,  -772,  -1058,   -449,    307,   -804,   4915,   5812,   -492, 0
     14195,         -1,  32767,  -1967,   -126,    46,  -962,  -772,  -1065,   -481,    318,   -804,   4915,   5812,   -492, 0
