t	p	T	az	ay	ax	gz	gy	gx	fs
38960	328717	25936	-1942	-55	-333	-159	66	86	0
38992	328717	25936	-1944	-48	-319	-157	77	87	0
39024	328717	25936	-1939	-51	-307	-171	71	82	0
39057	328717	25936	-1933	-53	-323	-148	67	84	0
39089	328717	25937	-1944	-64	-323	-164	69	88	0
39121	328717	25934	-1943	-49	-326	-159	71	82	0
39154	328717	25937	-1945	-63	-329	-156	70	92	0
39186	328717	25938	-1946	-45	-303	-159	84	84	0
39218	328717	25935	-1934	-46	-328	-156	74	77	0
39251	328717	25937	-1939	-53	-325	-160	75	95	0
39283	328717	25936	-1941	-45	-313	-154	69	87	0
39315	328717	25938	-1950	-51	-296	-165	74	84	0
39348	328717	25936	-1943	-54	-300	-162	79	80	0
39380	328717	25937	-1940	-61	-311	-166	75	79	0
39412	328717	25937	-1939	-59	-315	-158	77	78	0
39445	328717	25934	-1948	-61	-319	-162	72	80	0
39477	328717	25936	-1936	-66	-334	-164	73	81	0
39509	328717	25936	-1947	-57	-307	-162	73	82	0
39542	328717	25936	-1942	-52	-322	-158	84	77	0
39574	328717	25937	-1947	-51	-330	-158	67	81	0
39606	328717	25935	-1947	-65	-307	-161	72	84	0
39639	328717	25937	-1937	-55	-318	-158	73	86	0
39671	328717	25936	-1949	-55	-314	-168	74	91	0
39703	328717	25935	-1947	-63	-315	-168	71	90	0
39736	328717	25936	-1939	-62	-330	-157	76	78	0
39768	328717	25936	-1942	-54	-313	-165	77	83	0
39800	328717	25938	-1949	-53	-317	-161	67	75	0
39833	328717	25936	-1946	-48	-314	-157	68	78	0
39865	328717	25936	-1946	-60	-313	-162	75	71	0
39897	328717	25937	-1933	-51	-322	-153	62	82	0
39930	328717	25936	-1942	-49	-316	-162	77	75	0
39962	328717	25938	-1946	-60	-325	-159	69	88	0
39994	328717	25938	-1946	-55	-309	-166	81	82	0
40027	328717	25936	-1942	-62	-310	-161	69	77	0
40059	328717	25936	-1937	-52	-307	-156	76	85	0
40091	328717	25936	-1946	-49	-322	-161	80	80	0
40124	328717	25936	-1937	-60	-319	-158	73	81	0
40156	328717	25934	-1954	-52	-322	-153	68	84	0
40188	328717	25936	-1941	-48	-321	-168	83	82	0
40221	328717	25936	-1938	-67	-318	-168	76	82	0
40253	328717	25936	-1936	-50	-320	-165	65	80	0
40285	328717	25936	-1935	-53	-312	-156	71	84	0
40318	328717	25937	-1938	-61	-342	-167	71	84	0
40350	328717	25937	-1936	-52	-323	-185	71	83	0
40382	328717	25936	-1939	-60	-313	-258	63	80	0
40415	328717	25938	-1932	-53	-317	-49	57	90	0
